joc,scor,swapuri,prag_atins
1,11540,11,True
2,12160,9,True
3,10640,14,True
4,10380,7,True
5,10110,5,True
6,10160,4,True
7,10280,8,True
8,12370,11,True
9,10910,8,True
10,10830,7,True
11,12680,11,True
12,10380,8,True
13,10280,11,True
14,10760,9,True
15,10840,11,True
16,10050,11,True
17,10140,6,True
18,10580,11,True
19,11040,5,True
20,11300,8,True
21,10640,7,True
22,11740,6,True
23,10970,5,True
24,11400,7,True
25,11060,6,True
26,11280,11,True
27,11310,6,True
28,10640,9,True
29,10140,9,True
30,10110,3,True
31,10320,13,True
32,10940,6,True
33,11430,4,True
34,10290,13,True
35,11420,5,True
36,10000,5,True
37,10430,12,True
38,10500,9,True
39,10100,9,True
40,10830,8,True
41,10380,11,True
42,10820,11,True
43,10540,11,True
44,11100,6,True
45,11600,9,True
46,10170,8,True
47,10160,11,True
48,10970,6,True
49,11180,5,True
50,10190,6,True
51,10240,7,True
52,10460,7,True
53,10840,8,True
54,10970,6,True
55,10510,8,True
56,10110,6,True
57,11820,5,True
58,10580,8,True
59,10110,7,True
60,10440,4,True
61,12030,9,True
62,10520,8,True
63,10380,11,True
64,10250,6,True
65,11650,8,True
66,12960,9,True
67,10300,6,True
68,11080,6,True
69,10630,10,True
70,10080,3,True
71,11540,10,True
72,10670,10,True
73,12970,10,True
74,10060,7,True
75,10510,17,True
76,11420,7,True
77,10020,7,True
78,11500,8,True
79,11180,8,True
80,11890,9,True
81,11940,9,True
82,10320,9,True
83,11330,7,True
84,10160,8,True
85,12480,6,True
86,11720,8,True
87,10520,10,True
88,10990,9,True
89,10220,8,True
90,11600,6,True
91,10080,7,True
92,10590,13,True
93,11540,12,True
94,10620,11,True
95,10620,5,True
96,10960,4,True
97,10590,9,True
98,10510,3,True
99,10140,7,True
100,10620,4,True
